#{"t_start": 1681381771.0962954, "env_id": null}
r,l,t
0,1822,2663.758075
0,156,2663.902322
0,1798,2666.902063
0,314,2667.19321
0,6257,2676.935593
0,259,2677.176279
0,205,2677.369591
0,64,2677.430746
0,1797,2680.45406
0,81,2680.527848
0,379,2680.881835
0,49,2680.926649
0,1579,2683.746111
0,114,2683.852578
0,105,2683.95091
0,91,2684.036318
0,212,2684.240877
0,3392,2690.093046
0,35,2690.127113
0,175,2690.289961
0,238,2690.510892
0,196,2690.699617
0,1027,2692.950719
0,1007,2693.896221
0,79,2693.968218
0,188,2694.144246
0,248,2694.375431
0,206,2694.566909
0,46,2694.610847
0,195,2696.162939
0,985,2697.084699
0,286,2697.351637
0,239,2697.573011
0,4220,2704.285292
0,959,2706.494791
0,1073,2707.478082
0,74,2707.546023
0,2291,2712.24268
0,3266,2716.504225
0,851,2718.582884
0,2105,2721.790455
0,3959,2726.683878
0,43,2728.019881
0,547,2728.528965
0,258,2728.767735
0,271,2729.015184
0,694,2729.65078
0,291,2731.284646
0,778,2732.023181
57,1345,2734.623106
0,152,2734.761891
0,476,2735.193102
0,375,2735.530596
0,90,2735.609879
0,134,2735.731693
0,107,2735.82777
0,143,2735.961329
0,236,2736.173081
0,329,2737.723383
0,76,2737.794083
0,536,2738.282194
0,1227,2739.387704
0,198,2740.841998
0,49,2740.886317
0,1324,2742.083999
0,64,2742.140722
0,6998,2753.425264
0,373,2753.760374
0,199,2753.937499
0,14917,2776.454751
0,648,2778.364334
0,67,2778.427055
0,121,2778.536258
0,205,2778.72044
0,5430,2786.289379
0,236,2786.502284
0,2164,2791.058627
0,551,2791.562936
0,615,2792.116189
0,101,2792.207584
0,978,2794.361446
0,4043,2800.566001
0,157,2800.708478
0,1813,2803.615055
0,25,2803.637822
0,352,2803.96251
0,50,2804.006794
0,93,2804.091159
0,612,2804.643576
0,329,2804.946416
0,294,2805.212329
0,66,2805.270968
0,99,2806.663885
0,2979,2810.665225
0,67,2810.726623
0,451,2811.139356
0,184,2811.30618
0,1201,2813.712377
0,641,2814.300115
0,558,2814.806432
0,616,2816.670406
0,56,2816.722227
0,124,2816.835148
0,110,2816.935385
0,212,2817.128835
0,68,2817.191489
0,134,2817.318688
0,131,2817.437266
0,158,2817.580387
0,277,2817.833566
0,30,2817.860668
0,92,2817.944534
1101,1109,2820.277442
0,977,2821.158384
0,4861,2829.403037
0,50,2829.447091
0,822,2830.189389
0,50,2830.23527
0,4553,2838.213795
0,55,2838.266211
0,68,2838.332264
0,66,2838.393653
0,22339,2872.986736
0,2558,2876.621913
0,67,2876.682565
0,57,2876.732674
0,82,2876.806415
0,97,2876.89343
0,102,2876.984988
0,1149,2879.350456
0,34,2879.38178
0,145,2879.522353
49,79,2879.593215
0,115,2879.698464
0,43,2879.738847
0,357,2880.064598
